Country,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,3-Feb-20,4-Feb-20,5-Feb-20,6-Feb-20,7-Feb-20,8-Feb-20,9-Feb-20,10-Feb-20,11-Feb-20,12-Feb-20,13-Feb-20,14-Feb-20,15-Feb-20,16-Feb-20,17-Feb-20,18-Feb-20,19-Feb-20,20-Feb-20,21-Feb-20,22-Feb-20,23-Feb-20,24-Feb-20,25-Feb-20,26-Feb-20,27-Feb-20,28-Feb-20,29-Feb-20,1-Mar-20,2-Mar-20,3-Mar-20,4-Mar-20,5-Mar-20,6-Mar-20,7-Mar-20,8-Mar-20,9-Mar-20,10-Mar-20,11-Mar-20,12-Mar-20,13-Mar-20,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,,,,,,
China,40,50,59,282,312,435,569,825,1287,1975,2744,4515,5974,7711,9692,11791,14380,17205,20438,24334,28018,31161,34546,37198,40171,42638,45094,59804,63861,66581,68595,70641,72531,74281,74578,75572,76397,76936,77150,77660,78064,78498,78824,79251,79826,80026,80151,80270,80422,80573,80652,80699,80736,80757,80785,80793,80809,80825,81443,80860,80881,80910,80930,80967,81014,81060,81093,81177,81218,81299,81340,81394,81439,81479,,,,,,
Korea, Rep.,,,,,1,1,1,2,2,2,4,4,4,4,11,12,15,15,16,18,23,24,24,27,27,28,28,28,28,28,29,30,31,51,105,206,433,608,843,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8897,8961,9037,9137,9241,9332,9478,9583,9661,,,,,,
Italy,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,79,157,230,326,470,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63928,69176,74386,80589,86498,92472,97689,101739,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,18,28,43,64,95,139,270,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27077,29406,32332,35408,38309,41495,,,,,,
Japan,,,,,1,1,1,1,3,3,4,6,7,11,14,17,20,20,20,23,25,25,25,26,26,26,28,33,41,53,59,66,74,84,94,106,135,147,159,171,189,205,233,241,256,274,293,331,361,420,461,502,530,587,639,691,725,787,835,835,878,889,956,963,1054,1101,1128,1193,1307,1399,1468,1722,1897,1951,,,,,,
Singapore,,,,,,,,1,3,4,4,7,7,10,13,16,18,18,24,24,28,33,40,40,43,45,47,58,67,72,75,77,81,84,85,86,89,89,90,91,93,96,98,102,106,108,110,112,117,130,138,150,160,166,178,187,200,212,226,243,266,313,345,385,432,455,509,558,631,683,732,802,844,879,,,,,,
Hong Kong,,,,,,,1,2,5,5,8,8,8,10,12,13,14,13,17,18,21,24,26,26,38,42,49,53,56,56,57,60,61,63,67,69,70,74,81,85,91,93,94,95,100,100,101,105,105,108,109,115,115,121,129,131,137,142,149,155,168,193,208,256,274,317,356,386,410,453,519,560,641,682,,,,,,
Germany,,,,,,,,,,,,1,4,4,5,7,8,12,12,12,12,13,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,18,21,45,60,83,129,165,196,349,545,714,893,1067,1224,1574,1908,2745,3951,4950,5813,7272,10203,12327,15320,22267,25466,28624,31500,36114,41266,47592,52740,57847,62100,65390,,,,,,
United States,,,,,,,1,1,2,2,5,5,5,5,6,7,8,11,11,11,12,12,12,12,12,13,13,15,15,15,15,15,15,15,15,27,35,35,53,57,60,60,62,68,73,100,118,154,221,272,421,534,624,974,1238,1650,2269,2831,3621,4534,6194,8900,13671,18839,25433,33326,43484,53608,65314,82261,101159,121132,139217,158550,,,,,,
France,,,,,,,,,3,3,3,3,4,5,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,212,285,423,653,949,1126,1412,1784,2281,2876,3661,4499,5423,6650,7730,9105,10995,12459,14459,16018,19856,22622,25233,29551,32964,37575,40174,44550,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,26,43,45,45,46,56,56,56,58,58,61,64,65,69,72,80,100,104,112,123,130,142,148,159,176,188,189,191,195,208,225,235,255,255,,,,,,
