region,population,parent
Afghanistan,37172386,Asia
Albania,2866376,Europe
Algeria,42228429,Africa
Andorra,77006,Europe
Angola,30809762,Africa
Antigua and Barbuda,96286,
Argentina,44494502,South America
Armenia,2951776,Europe
Australia,24992369,Australia
Austria,8847037,Europe
Azerbaijan,9942334,Asia
Bahamas,385640,South America
Bahrain,1569439,Asia
Bangladesh,161356039,Asia
Barbados,286641,South America
Belarus,9485386,Europe
Belgium,11422068,Europe
Benin,11485048,Africa
Bhutan,754394,Asia
Bolivia,11353142,South America
Bosnia and Herzegovina,3323929,Europe
Brazil,209469333,South America
Brunei,428962,Asia
Bulgaria,7024216,Europe
Burkina Faso,19751535,Africa
Cabo Verde,543767,Africa
Cambodia,16249798,Asia
Cameroon,25216237,Africa
Canada,37058856,North America
Central African Republic,4666377,Africa
Chad,15477751,Africa
Chile,18729160,South America
China,1392730000,Asia
Hong Kong,7451000,Asia
Hubei,59500000,China
Macau,631636,China
Colombia,49648685,South America
Congo (Brazzaville),5244363,Africa
Congo (Kinshasa),84068091,Africa
Costa Rica,4999441,North America
Cote d'Ivoire,25069229,Africa
Croatia,4089400,Europe
Diamond Princess,3500,-
Cuba,11338138,South America
Cyprus,1189265,Europe
Czechia,10625695,Europe
Faroe Islands,48497,Europe
Greenland,56025,
Denmark,5797446,Europe
Djibouti,958920,Africa
Dominican Republic,10627165,South America
Ecuador,17084357,South America
Egypt,98423595,Africa
El Salvador,6420744,
Equatorial Guinea,1308974,Africa
Eritrea,3214000,Africa
Estonia,1320884,Europe
Eswatini,1136191,Africa
Ethiopia,109224559,Africa
Fiji,883483,
Finland,5518050,Europe
French Guiana,290700,South America
French Polynesia,277679,
Guadeloupe,400124,
Mayotte,272815,
New Caledonia,284060,
Reunion,895312,
Saint Barthelemy,9877,
St Martin,38666,
Martinique,375265,
France,66987244,Europe
Gabon,2119275,Africa
Gambia,2416668,Africa
Georgia,3731000,
Germany,82927922,Europe
Ghana,29767108,Africa
Greece,10727668,Europe
Guatemala,17247807,North America
Guinea,12414318,Africa
Guyana,779004,South America
Haiti,11123176,South America
Holy See,801,-
Honduras,9587522,North America
Hungary,9768785,Europe
Iceland,353574,Europe
India,1352617328,Asia
Indonesia,267663435,Asia
Iran,81800269,Asia
Iraq,38433600,Asia
Ireland,4853506,Europe
Israel,8883800,Asia
Italy,60431283,Europe
Jamaica,2934855,South America
Japan,126529100,Asia
Jordan,9956011,Asia
Kazakhstan,18276499,Asia
Kenya,51393010,Africa
Kuwait,4137309,Asia
Kyrgyzstan,6524195,Asia
Latvia,1926542,Europe
Lebanon,6848925,Asia
Liberia,4818977,Africa
Liechtenstein,37910,Europe
Lithuania,2789533,Europe
Luxembourg,607728,Europe
Madagascar,26262368,Africa
Malaysia,31528585,Asia
Maldives,515696,Africa
Malta,483530,Europe
Mauritania,4403319,Africa
Mauritius,1265303,Africa
Mexico,126190788,North America
Moldova,3545883,Europe
Monaco,38682,Europe
Mongolia,3170208,Asia
Montenegro,622345,Europe
Morocco,36029138,Africa
Namibia,2448255,Africa
Nepal,28087871,Asia
Aruba,105845,South America
Curacao,159849,South America
Sint Maarten,42876,South America
Netherlands,17231017,Europe
New Zealand,4885500,Australia
Nicaragua,6465513,North America
Niger,22442948,Africa
Nigeria,195874740,Africa
North Macedonia,2082958,Europe
